Latitude,Longitude,Safety Score,Lighting Rating,Crowd Rating,Emergency Rating,Crimes,Severity Score,Public Spaces,Keywords
52.2855,-1.55803,44.19064274730773,0.8,0.8,0.2,5,6.0,0,"['cars', 'public', 'lot', 'times', 'route']"
52.28688,-1.53362,32.811247219160535,0.6,0.4,0.2,622,6.2901639344262295,31,"['isolated road', 'lack', 'route', 'lighting']"
52.27925,-1.54465,34.1030435155311,0.6,0.4,0.2,60,5.566666666666666,10,"['isolated road', 'lack', 'route', 'lighting']"
52.290777,-1.533494,50.337037372579175,0.75,0.8,0.35,783,4.902275769745649,56,"['many shops', 'parade', 'public spaces', 'safer choice', 'lots']"
52.27595,-1.51643,36.05742773349463,0.6,0.6,0.2,98,6.204081632653061,5,"['street', 'public', 'other members']"
52.28569,-1.53394,34.22895921926342,0.6,0.4,0.2,511,6.351297405189621,56,"['isolated road', 'lack', 'route', 'lighting']"
52.2760706,-1.5164124,28.34842055885233,0.4,0.4,0.2,102,6.264705882352941,5,"['street lighting', 'road', 'public spaces', 'route', 'access']"
52.28398,-1.53755,43.32961788463504,0.8,0.8,0.2,301,6.285234899328859,4,"['cars', 'public', 'lot', 'times', 'route']"
52.2913,-1.57789,54.00097500653966,0.6,0.6,0.4,0,0.0,1,"['busy route', 'cars', 'hospital', 'shops', 'times']"
52.28414,-1.53665,42.729076495594434,0.8,0.8,0.2,380,6.874666666666666,18,"['cars', 'public', 'lot', 'times', 'route']"
52.2843,-1.53489,21.12411684730093,0.2,0.2,0.2,543,6.5111940298507465,45,"['unlit roads', 'route']"
52.28377,-1.5404,44.88866970013486,0.8,0.8,0.2,164,5.574074074074074,0,"['cars', 'public', 'lot', 'times', 'route']"
52.2866,-1.54848,46.0904058667096,0.6,0.8,0.4,34,5.294117647058823,2,"['scenic route', 'park', 'daytime', 'walk', 'felt']"
52.29140349999999,-1.5782611,42.31393129770992,0.4,0.4,0.2,0,0.0,0,"['little lighting', 'night', 'park', 'public spaces', 'access']"
52.28624,-1.53316,33.76747402656388,0.6,0.4,0.2,571,6.265124555160142,46,"['isolated road', 'lack', 'route', 'lighting']"
52.2818,-1.53485,30.514795783139803,0.5,0.4,0.2,252,6.350597609561753,19,"['isolated road', 'lack', 'route', 'public services', 'lighting']"
52.28959,-1.55339,36.44418548113131,0.4,0.4,0.6,66,5.96969696969697,0,"['busy route', 'public spaces', 'hospital', 'shops', 'route']"
52.2851,-1.56291,48.38504438070557,0.6,0.8,0.4,62,4.306451612903226,4,"['scenic route', 'park', 'daytime', 'walk', 'felt']"
52.2762849,-1.5356019,32.913360654180536,0.6,0.4,0.2,212,5.785714285714286,2,"['cemetery', 'more people', 'walk', 'route']"
52.28728,-1.53574,44.50961281202181,0.6,0.8,0.4,495,6.278008298755187,26,"['scenic route', 'park', 'daytime', 'walk', 'felt']"
52.28541,-1.55786,44.19064274730773,0.8,0.8,0.2,5,6.0,0,"['cars', 'public', 'lot', 'times', 'route']"
52.28725,-1.53562,44.509102837713606,0.6,0.8,0.4,497,6.276859504132231,26,"['scenic route', 'park', 'daytime', 'walk', 'felt']"
52.2899,-1.53796,39.85685158052527,0.6,0.4,0.4,543,5.007518796992481,39,"['main high street', 'route']"
52.28806,-1.56727,44.61804482632192,0.8,0.8,0.2,130,5.746153846153846,1,"['cars', 'public', 'lot', 'times', 'route']"
52.28694,-1.53704,39.259996462868905,0.5,0.7,0.4,487,6.381551362683438,14,"['scenic route', 'many drunk people', 'night', 'daytime', 'walk']"
52.27543,-1.52666,48.54281933992704,0.8,0.8,0.4,116,5.868421052631579,3,"['public spaces', 'access', 'route']"
52.28681,-1.56078,44.15056610421868,0.6,0.8,0.4,92,6.206521739130435,6,"['scenic route', 'park', 'daytime', 'walk', 'felt']"
52.2948,-1.53725,36.27672575866345,0.6,0.4,0.4,360,6.197101449275363,14,"['main high street', 'route']"
52.27632,-1.5322,48.84320391537573,0.8,0.8,0.4,290,5.67719298245614,6,"['public spaces', 'access', 'route']"
52.28503,-1.53542,20.42951045311414,0.2,0.2,0.2,528,6.615384615384615,36,"['unlit roads', 'route']"
52.28789,-1.54591,44.91761348334656,0.6,0.8,0.4,27,5.814814814814815,2,"['scenic route', 'park', 'daytime', 'walk', 'felt']"
52.2875364,-1.541341,30.77418090220166,0.4,0.6,0.2,132,6.565891472868217,3,"['drunk people', 'lots', 'route']"
52.27641,-1.52057,34.1877514781577,0.6,0.6,0.2,140,6.914285714285715,1,"['street', 'public', 'other members']"
52.28444,-1.53546,23.42017705890438,0.3,0.25,0.2,540,6.597744360902255,36,"['unlit roads', 'night', 'street lighting', 'park', 'anything']"
52.28617,-1.55979,47.34900050100631,0.6,0.8,0.4,12,4.833333333333333,5,"['scenic route', 'park', 'daytime', 'walk', 'felt']"
52.28582,-1.53308,34.31512655833055,0.6,0.4,0.2,501,6.396341463414634,59,"['isolated road', 'lack', 'route', 'lighting']"
52.29094,-1.57684,54.00097500653966,0.6,0.6,0.4,0,0.0,1,"['busy route', 'cars', 'hospital', 'shops', 'times']"
52.28051,-1.53824,30.756405048406148,0.6,0.4,0.2,120,6.766666666666667,0,"['isolated road', 'lack', 'route', 'lighting']"
52.28776,-1.56568,44.69252016729431,0.8,0.8,0.2,144,5.826388888888889,6,"['cars', 'public', 'lot', 'times', 'route']"
52.28514,-1.53637,19.301682669360048,0.2,0.2,0.2,367,6.8535911602209945,21,"['unlit roads', 'route']"
52.2907119,-1.5829859,42.31393129770992,0.4,0.4,0.2,0,0.0,0,"['little lighting', 'night', 'park', 'public spaces', 'access']"
52.28552,-1.56332,47.869809329613375,0.6,0.8,0.4,66,4.53030303030303,4,"['scenic route', 'park', 'daytime', 'walk', 'felt']"
52.29034,-1.57535,50.260516991272496,0.4,0.4,0.6,0,0.0,1,"['busy route', 'public spaces', 'hospital', 'shops', 'route']"
52.28754,-1.53444,33.06596211894558,0.6,0.4,0.2,500,6.253112033195021,31,"['isolated road', 'lack', 'route', 'lighting']"
52.2889352,-1.5379752,46.73967069238879,0.6,0.8,0.4,409,5.280701754385965,30,"['afternoons', 'greenery', 'public', 'route']"
52.28261,-1.55083,47.67571528242476,0.8,0.8,0.2,71,4.436619718309859,1,"['cars', 'public', 'lot', 'times', 'route']"
