Latitude,Longitude,q1,q2,q3,q4,feedback date list,responseList,dateList
52.2855,-1.55803,3.0,4.0,4.0,1.0,2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.",2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z
52.28688,-1.53362,3.0,3.0,2.0,1.0,2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.",2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z
52.27925,-1.54465,3.0,3.0,2.0,1.0,2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.",2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z
52.290777,-1.533494,3.5,3.75,4.0,1.75,2024-02-17T12:46:14.436Z; 2024-02-22T22:12:14.045Z; 2024-02-22T22:15:29.969Z; 2024-02-22T22:18:23.88Z; 2024-02-17T12:46:14.436Z; 2024-02-22T22:12:14.045Z; 2024-02-22T22:15:29.969Z; 2024-02-22T22:18:23.88Z,"The route was busy with the public as there were many shops nearby. I think the parade would have been a safer choice.; The route was well lit, busy, with lots of public spaces.; This route was very well-lit, with lots of access to shops if needed. Many people were walking around even though it's dark.; The route had lots of public spaces available so I felt at ease.; The route was busy with the public as there were many shops nearby. I think the parade would have been a safer choice.; The route was well lit, busy, with lots of public spaces.; This route was very well-lit, with lots of access to shops if needed. Many people were walking around even though it's dark.; The route had lots of public spaces available so I felt at ease.",2024-02-17T12:46:14.436Z; 2024-02-22T22:12:14.045Z; 2024-02-22T22:15:29.969Z; 2024-02-22T22:18:23.88Z; 2024-02-17T12:46:14.436Z; 2024-02-22T22:12:14.045Z; 2024-02-22T22:15:29.969Z; 2024-02-22T22:18:23.88Z
52.27595,-1.51643,3.0,3.0,3.0,1.0,2024-02-23T14:21:02.709Z; 2024-02-23T14:21:02.709Z,"Well-lit street, was quite busy with other members of public.; Well-lit street, was quite busy with other members of public.",2024-02-23T14:21:02.709Z; 2024-02-23T14:21:02.709Z
52.28569,-1.53394,3.0,3.0,2.0,1.0,2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.",2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z
52.2760706,-1.5164124,2.0,2.0,2.0,1.0,2024-02-18T11:07:37.513Z; 2024-02-18T11:07:37.513Z; 2024-02-18T11:07:37.513Z; 2024-02-18T11:07:37.513Z,"On route there was a road which had no street lighting and felt very unsafe. It was residential, but there was no access to public spaces.; On route there was a road which had no street lighting and felt very unsafe. It was residential, but there was no access to public spaces.",2024-02-18T11:07:37.513Z; 2024-02-18T11:07:37.513Z
52.28398,-1.53755,3.0,4.0,4.0,1.0,2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.",2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z
52.2913,-1.57789,2.5,3.0,3.0,2.0,2024-02-22T22:42:06.016Z; 2024-02-23T15:20:43.152Z; 2024-02-22T22:42:06.016Z; 2024-02-23T15:20:43.152Z,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.",2024-02-22T22:42:06.016Z; 2024-02-23T15:20:43.152Z; 2024-02-22T22:42:06.016Z; 2024-02-23T15:20:43.152Z
52.28414,-1.53665,3.0,4.0,4.0,1.0,2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.",2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z
52.2843,-1.53489,1.0,1.0,1.0,1.0,2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z,"This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.",2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z
52.28377,-1.5404,3.0,4.0,4.0,1.0,2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.",2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z
52.2866,-1.54848,4.0,3.0,4.0,2.0,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z
52.29140349999999,-1.5782611,3.0,2.0,2.0,1.0,2024-02-22T22:41:33.731Z; 2024-02-22T22:41:33.731Z,Walking near the park at night meant there was little lighting and no access to public spaces.; Walking near the park at night meant there was little lighting and no access to public spaces.,2024-02-22T22:41:33.731Z; 2024-02-22T22:41:33.731Z
52.28624,-1.53316,3.0,3.0,2.0,1.0,2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.",2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z
52.2818,-1.53485,2.5,2.5,2.0,1.0,2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z; 2024-02-26T17:59:28.278Z,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.; Quiet route  with no public services available",2024-02-17T12:43:29.355Z; 2024-02-17T12:43:29.355Z; 2024-02-26T17:59:28.278Z
52.28959,-1.55339,2.0,2.0,2.0,3.0,2024-02-23T15:20:43.152Z; 2024-02-23T15:20:43.152Z,The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.; The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.,2024-02-23T15:20:43.152Z; 2024-02-23T15:20:43.152Z
52.2851,-1.56291,4.0,3.0,4.0,2.0,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z
52.2762849,-1.5356019,2.0,3.0,2.0,1.0,2024-02-23T14:22:25.332Z; 2024-02-23T14:22:25.332Z,I hated the walk alongside the cemetery - was creepy and made me feel unsafe. I would have preferred a route with more people around; I hated the walk alongside the cemetery - was creepy and made me feel unsafe. I would have preferred a route with more people around,2024-02-23T14:22:25.332Z; 2024-02-23T14:22:25.332Z
52.28728,-1.53574,4.0,3.0,4.0,2.0,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z
52.28541,-1.55786,3.0,4.0,4.0,1.0,2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.",2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z
52.28725,-1.53562,4.0,3.0,4.0,2.0,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z
52.2899,-1.53796,2.0,3.0,2.0,2.0,2024-02-22T22:19:36.302Z; 2024-02-22T22:19:36.302Z,"The route was fairly well-lit, but it was quite far from  the main high street so I felt less safe.; The route was fairly well-lit, but it was quite far from  the main high street so I felt less safe.",2024-02-22T22:19:36.302Z; 2024-02-22T22:19:36.302Z
52.28806,-1.56727,3.0,4.0,4.0,1.0,2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.",2024-02-22T22:42:06.016Z; 2024-02-22T22:42:06.016Z
52.28694,-1.53704,3.0,2.5,3.5,2.0,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z; 2024-02-25T23:53:37.404Z,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; I don't enjoy walking by the park at night - too many drunk people and too dark,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z; 2024-02-25T23:53:37.404Z
52.27543,-1.52666,4.0,4.0,4.0,2.0,2024-02-23T14:23:39.297Z; 2024-02-23T14:23:39.297Z,The route felt fairly safe with some access to public spaces.; The route felt fairly safe with some access to public spaces.,2024-02-23T14:23:39.297Z; 2024-02-23T14:23:39.297Z
52.28681,-1.56078,4.0,3.0,4.0,2.0,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z
52.2948,-1.53725,2.0,3.0,2.0,2.0,2024-02-22T22:19:36.302Z; 2024-02-22T22:19:36.302Z,"The route was fairly well-lit, but it was quite far from  the main high street so I felt less safe.; The route was fairly well-lit, but it was quite far from  the main high street so I felt less safe.",2024-02-22T22:19:36.302Z; 2024-02-22T22:19:36.302Z
52.27632,-1.5322,4.0,4.0,4.0,2.0,2024-02-23T14:23:39.297Z; 2024-02-23T14:23:39.297Z,The route felt fairly safe with some access to public spaces.; The route felt fairly safe with some access to public spaces.,2024-02-23T14:23:39.297Z; 2024-02-23T14:23:39.297Z
52.28503,-1.53542,1.0,1.0,1.0,1.0,2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z,"This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.",2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z; 2024-02-22T22:46:58.42Z
52.28789,-1.54591,4.0,3.0,4.0,2.0,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,2024-02-23T14:40:59.31Z; 2024-02-23T14:40:59.31Z
