Location,Place Name,Place Type,Latitude,Longitude
"52.295042, -1.570058",Oakwood and Blacklow Spinney,"tourist_attraction, park, point_of_interest, establishment",52.29393679999999,-1.5715244
"52.295042, -1.570058",Millbank Park,"park, premise, point_of_interest, establishment",52.2954549,-1.5657662
"52.295042, -1.562762",Millbank Park,"park, premise, point_of_interest, establishment",52.2954549,-1.5657662
"52.295042,-1.540875",Leamington Drinks,"liquor_store, store, point_of_interest, establishment",52.2951554,-1.5404373
"52.295042,-1.533494",.BAKE BOX,"bakery, point_of_interest, store, food, establishment",52.2933755,-1.5333516
"52.295042,-1.533494",Habanaloko salsa dance holidays,"night_club, point_of_interest, establishment",52.2933872,-1.5316588
"52.295042,-1.533494",Christchurch Gardens,"park, point_of_interest, establishment",52.2941661,-1.5361249
"52.295042,-1.518688",Campion Hill Cycle Track,"park, point_of_interest, establishment",52.2941497,-1.521358
"52.290777,-1.555381",Pottertons Field,"park, point_of_interest, establishment",52.29039179999999,-1.5587919
"52.290777,-1.548171",Sugarpot Cakes,"bakery, store, food, point_of_interest, establishment",52.2907532,-1.546175
"52.290777,-1.540875",Caking and Baking,"bakery, store, food, point_of_interest, establishment",52.291688,-1.542674
"52.290777,-1.540875",Sansom's Sarnies,"bakery, store, food, point_of_interest, establishment",52.2920494,-1.5407642
"52.290777,-1.540875",Wilhelmina,"bakery, store, food, point_of_interest, establishment",52.2904612,-1.5386255
"52.290777,-1.540875",Neesh Cakes,"bakery, store, food, point_of_interest, establishment",52.2917073,-1.5426419
"52.290777,-1.540875",Clink Cellar Bar,"bar, night_club, restaurant, food, point_of_interest, establishment",52.2917372,-1.5379442
"52.290777,-1.540875",Lola Provisions,"liquor_store, bar, cafe, store, food, point_of_interest, establishment",52.289891,-1.5377437
"52.290777,-1.540875",The Dell,"park, tourist_attraction, point_of_interest, establishment",52.292454,-1.5424432
"52.290777,-1.533494",Upper Parade (Stand E),"bus_station, transit_station, point_of_interest, establishment",52.2924466,-1.5359613
"52.290777,-1.533494",Savi's Bakery,"bakery, cafe, food, store, point_of_interest, establishment",52.2904046,-1.5362398
"52.290777,-1.533494",The Steamhouse,"cafe, bakery, food, store, point_of_interest, establishment",52.29187109999999,-1.5354097
"52.290777,-1.533494",The Cakery,"bakery, food, store, point_of_interest, establishment",52.29036869999999,-1.5325106
"52.290777,-1.533494",Coffee Break,"cafe, bakery, food, store, point_of_interest, establishment",52.2910817,-1.5348043
"52.290777,-1.533494",Wicked Cookies,"bakery, food, store, point_of_interest, establishment",52.2911223,-1.5349095
