Location,Place Name,Place Type,Latitude,Longitude
"52.295042, -1.570058",Spinney Hill Chippy & Kebab House,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2932799,-1.5700491
"52.295042, -1.570058",Majestic Sweets,"restaurant, food, point_of_interest, establishment",52.2932924,-1.5682568
"52.295042, -1.570058",Oakwood and Blacklow Spinney,"tourist_attraction, park, point_of_interest, establishment",52.2939368,-1.5715244
"52.295042, -1.570058",Millbank Park,"park, premise, point_of_interest, establishment",52.2954549,-1.5657662
"52.295042, -1.562762",Majestic Sweets,"restaurant, point_of_interest, food, establishment",52.2932924,-1.5682568
"52.295042, -1.562762",Chopwell Trees,"park, point_of_interest, establishment",52.2923476,-1.5583852
"52.295042, -1.562762",Millbank Park,"park, premise, point_of_interest, establishment",52.2954549,-1.5657662
"52.295042,-1.555381",Dragon Cottage Play Area,"park, tourist_attraction, point_of_interest, establishment",52.2972958,-1.5551878
"52.295042,-1.555381",Chopwell Trees,"park, point_of_interest, establishment",52.2923476,-1.5583852
"52.295042,-1.548171",Sealand Fish Bar Ltd,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2922002,-1.5495071
"52.295042,-1.548171",The Fat Pug,"bar, restaurant, food, point_of_interest, establishment",52.2923095,-1.5483376
"52.295042,-1.548171",The Dell,"park, tourist_attraction, point_of_interest, establishment",52.292454,-1.5424432
"52.295042,-1.540875",La Coppola Ristorante & Oyster Bar,"restaurant, food, point_of_interest, establishment",52.2931137,-1.5361781
"52.295042,-1.540875",Whittle's Restaurant,"restaurant, food, point_of_interest, establishment",52.296496,-1.537435
"52.295042,-1.540875",Birtelli's,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",52.2934598,-1.5375299
"52.295042,-1.540875",Copper Pot,"bar, restaurant, food, point_of_interest, establishment",52.2920476,-1.537244
"52.295042,-1.540875",The Star & Garter,"bar, restaurant, food, point_of_interest, establishment",52.291709,-1.541993
"52.295042,-1.540875",Clink Cellar Bar,"bar, night_club, restaurant, food, point_of_interest, establishment",52.2917372,-1.5379442
"52.295042,-1.540875",Bedford Street Bar,"bar, restaurant, food, point_of_interest, establishment",52.2914123,-1.536887
"52.295042,-1.540875",McDonald's,"restaurant, food, point_of_interest, establishment",52.2923217,-1.5360812
"52.295042,-1.540875",Oriental Star,"restaurant, food, point_of_interest, establishment",52.293135,-1.535739
"52.295042,-1.540875",Boston Tea Party,"cafe, store, restaurant, food, point_of_interest, establishment",52.2936456,-1.5381707
"52.295042,-1.540875",Trof,"cafe, bakery, meal_takeaway, store, restaurant, food, point_of_interest, establishment",52.2922141,-1.5380184
"52.295042,-1.540875",Habano Restaurant Leamington,"cafe, bar, restaurant, food, point_of_interest, establishment",52.291768,-1.537181
"52.295042,-1.540875",QR COOK,"cafe, restaurant, food, point_of_interest, establishment",52.2919747,-1.5375652
"52.295042,-1.540875",Beba’s,"cafe, store, restaurant, food, point_of_interest, establishment",52.2919998,-1.5374936
"52.295042,-1.540875",Perfect Pizza,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2921641,-1.5370683
"52.295042,-1.540875",Raj Fish & Kebab House,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2921641,-1.5370683
"52.295042,-1.540875",Cinda's Kitchen,"restaurant, food, point_of_interest, establishment",52.2927959,-1.5356095
"52.295042,-1.540875",BYB - Build Your Burger,"restaurant, food, point_of_interest, establishment",52.2917289,-1.5374191
"52.295042,-1.540875",Mr.Souvlaki Leamington Spa,"restaurant, food, point_of_interest, establishment",52.2917289,-1.537419
"52.295042,-1.540875",I & A Restaurants Ltd,"restaurant, food, point_of_interest, establishment",52.2923221,-1.5361054
"52.295042,-1.540875",Altoria Nightclub,"night_club, bar, point_of_interest, establishment",52.2920433,-1.5370982
"52.295042,-1.540875",Smack,"night_club, point_of_interest, establishment",52.2930287,-1.5368854
"52.295042,-1.540875",Clink Cellar Bar,"bar, night_club, restaurant, food, point_of_interest, establishment",52.2917372,-1.5379442
"52.295042,-1.540875","Hammonds Fitted Wardrobes, Sliding Wardrobes and Home Office Furniture","furniture_store, home_goods_store, store, point_of_interest, establishment",52.2934693,-1.5363238
"52.295042,-1.540875",Sharps Fitted Furniture Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2933321,-1.5362661
"52.295042,-1.540875",Tom Howley,"furniture_store, general_contractor, home_goods_store, store, point_of_interest, establishment",52.2930192,-1.5362407
"52.295042,-1.540875",Flying Tiger Copenhagen,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2921811,-1.5360176
"52.295042,-1.540875",Locke & England,"furniture_store, home_goods_store, finance, store, point_of_interest, establishment",52.2930804,-1.5351997
